,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
0,0,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,5.73e+16,66,1617,0,0,1,0
1,0,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,9763200000000000.0,69,27,0,2,3,1
2,0,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2.7e+16,58,776,1,0,2,0
3,0,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1.2e+16,39,53,1,1,3,1
4,1,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1.39e+16,42,422,1,1,3,1
5,1,62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,2.53e+16,56,716,1,1,3,1
6,0,55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,5.12e+16,52,590,0,1,2,1
7,1,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,3.6e+16,38,169,1,1,3,1
8,1,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,3.35e+16,49,46,1,1,3,1
9,1,5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,9331200000000000.0,73,49,1,2,4,1
10,2,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,5.12e+16,47,61,1,0,2,0
11,0,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1.95e+16,64,1102,0,0,1,0
12,1,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,1.95e+16,71,310,0,2,3,1
13,0,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,5.42e+16,36,46,1,0,2,0
14,1,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,5.03e+16,77,1315,0,0,1,0
15,0,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,4.77e+16,43,96,1,2,4,1
16,0,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,5.76e+16,77,317,1,0,2,0
17,1,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3.96e+16,74,1782,1,1,3,1
18,2,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,5.21e+16,38,133,0,1,2,1
19,0,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,5.96e+16,41,316,1,0,2,0
20,0,2447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,4.66e+16,44,1730,1,1,3,1
21,1,58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,4.78e+16,74,972,1,1,3,1
22,1,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1.46e+16,69,544,1,1,3,1
23,0,40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,4.04e+16,72,444,1,1,3,1
24,0,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,4.69e+16,54,75,0,0,1,0
25,0,53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,3.44e+16,47,257,1,2,4,1
26,0,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,3.4e+16,34,131,1,1,3,1
27,1,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1.89e+16,58,1672,1,0,2,0
28,1,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3283200000000000.0,34,30,0,0,1,0
29,1,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,3.58e+16,60,318,1,0,2,0
30,0,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,5.42e+16,53,120,1,1,3,1
31,1,46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,5.25e+16,71,302,0,2,3,1
